,Image,RAM_Tags,YOLO_Tags
0,84.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 15 car, 1 traffic light"
1,98.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,14 car
2,112.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 8 car, 1 traffic light"
3,126.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 13 car, 1 traffic light"
4,140.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 9 car, 1 traffic light"
5,154.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 14 car, 1 traffic light"
6,168.jpg,car | corner | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"13 car, 1 traffic light"
7,182.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 9 car, 1 traffic light"
8,196.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 9 car, 1 traffic light"
9,210.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 4 car, 1 traffic light"
10,224.jpg,car | corner | curb | intersection | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 9 car, 2 truck, 1 traffic light"
11,238.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 8 car, 1 truck, 1 traffic light"
12,252.jpg,car | corner | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 13 car, 1 traffic light"
13,266.jpg,car | corner | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 truck, 1 traffic light"
14,280.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 7 car, 1 traffic light"
15,294.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 14 car, 1 traffic light"
16,308.jpg,car | city street | corner | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 2 bicycle, 12 car, 1 traffic light"
17,322.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"4 person, 1 bicycle, 12 car, 1 traffic light"
18,336.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"5 person, 7 car, 1 traffic light"
19,350.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | signal | stop light | traffic light | street corner | street sign | traffic sign,"4 person, 9 car, 1 truck, 1 traffic light"
20,364.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 11 car, 1 truck, 1 traffic light"
21,378.jpg,car | corner | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 12 car, 1 traffic light"
22,392.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 10 car, 1 traffic light"
23,406.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"4 person, 10 car, 1 traffic light"
24,420.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 traffic light"
25,434.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 10 car, 1 traffic light"
26,448.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 12 car, 1 traffic light"
27,462.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 traffic light"
28,476.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 10 car, 1 traffic light"
29,490.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | sign | stop light | traffic light | street corner | street sign | traffic sign,"3 person, 7 car, 1 traffic light"
30,504.jpg,car | corner | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 13 car, 1 traffic light"
31,518.jpg,car | corner | curb | intersection | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 13 car, 1 traffic light"
32,532.jpg,car | corner | curb | intersection | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 10 car, 1 traffic light"
33,546.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"3 person, 9 car, 1 traffic light"
34,560.jpg,car | corner | crosswalk | curb | intersection | park | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"4 person, 12 car, 1 traffic light"
35,574.jpg,car | corner | crosswalk | curb | intersection | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 traffic light"
36,588.jpg,car | corner | crosswalk | curb | intersection | park | parking meter | pavement | pole | road | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 traffic light"
37,602.jpg,car | crosswalk | curb | intersection | park | parking | parking meter | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 11 car, 1 traffic light"
38,616.jpg,car | corner | curb | intersection | park | parking | parking meter | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"3 person, 10 car, 1 traffic light"
39,630.jpg,car | curb | intersection | park | parking | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"3 person, 9 car, 1 truck, 1 traffic light"
40,644.jpg,car | corner | curb | intersection | park | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 8 car, 1 truck, 1 traffic light"
41,658.jpg,car | corner | curb | intersection | park | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"2 person, 8 car, 1 traffic light"
42,672.jpg,car | corner | curb | intersection | park | pavement | pole | road | signal | stop light | traffic light | street corner | street sign | traffic sign,"1 person, 8 car, 1 traffic light"
